Country,Related JobCategory,Level1,Level2,projects,percent
Antigua and Barbuda,82,Business Services,Project Management,1,0.04
Antigua and Barbuda,87,Customer Service,Order Processing,1,0.04
Argentina,8,Web Development,Web Design,365,0.075867803
Argentina,9,Web Development,Web Programming,805,0.1673248805
Argentina,11,Web Development,Ecommerce,28,0.0058199958
Argentina,12,Web Development,Streaming Media,4,0.000831428
Argentina,13,Web Development,UI Design,24,0.0049885679
Argentina,15,Web Development,Website QA,18,0.0037414259
Argentina,16,Web Development,Website Project Management,24,0.0049885679
Argentina,17,Web Development,Other - Web Development,109,0.0226564124
Argentina,18,Software Development,Desktop Applications,97,0.0201621285
Argentina,19,Software Development,Client-Server Applications,6,0.001247142
Argentina,20,Software Development,Game Development,25,0.0051964249
Argentina,21,Software Development,Scripts & Utilities,60,0.0124714197
Argentina,22,Software Development,Software Plug-ins,11,0.0022864269
Argentina,23,Software Development,Mobile Apps,47,0.0097692787
Argentina,24,Software Development,Application Interface Design,5,0.001039285
Argentina,25,Software Development,Software Project Management,32,0.0066514238
Argentina,26,Software Development,Software QA,16,0.0033257119
Argentina,27,Software Development,VOIP,17,0.0035335689
Argentina,28,Software Development,Other - Software Development,89,0.0184992725
Argentina,29,Networking & Information Systems,Network Administration,17,0.0035335689
Argentina,31,Networking & Information Systems,DBA - Database Administration,16,0.0033257119
Argentina,32,Networking & Information Systems,Server Administration,95,0.0197464145
Argentina,33,Networking & Information Systems,Other - Networking & Information Systems,20,0.0041571399
Argentina,34,Writing & Translation,Technical Writing,43,0.0089378508
Argentina,35,Writing & Translation,Website Content,115,0.0239035544
Argentina,37,Writing & Translation,Blog & Article Writing,107,0.0222406984
Argentina,38,Writing & Translation,Copywriting,25,0.0051964249
Argentina,39,Writing & Translation,Other - Writing & Translation,124,0.0257742673
Argentina,40,Administrative Support,Data Entry,81,0.0168364165
Argentina,41,Administrative Support,Personal Assistant,53,0.0110164207
Argentina,42,Administrative Support,Web Research,43,0.0089378508
Argentina,43,Administrative Support,Email Response Handling,1,0.000207857
Argentina,46,Administrative Support,Other - Administrative Support,61,0.0126792767
Argentina,47,Design & Multimedia,Graphic Design,482,0.1001870713
Argentina,48,Design & Multimedia,Logo Design,213,0.0442735398
Argentina,49,Design & Multimedia,Illustration,140,0.0290999792
Argentina,50,Design & Multimedia,Print Design,44,0.0091457078
Argentina,51,Design & Multimedia,3D Modeling & CAD,108,0.0224485554
Argentina,53,Design & Multimedia,Audio Production,104,0.0216171274
Argentina,54,Design & Multimedia,Video Production,39,0.0081064228
Argentina,55,Design & Multimedia,Voice Talent,19,0.0039492829
Argentina,56,Design & Multimedia,Animation,42,0.0087299938
Argentina,57,Design & Multimedia,Other - Design & Multimedia,75,0.0155892746
Argentina,58,Writing & Translation,Translation,518,0.1076699231
Argentina,59,Networking & Information Systems,ERP / CRM Implementation,2,0.000415714
Argentina,60,Design & Multimedia,Presentations,16,0.0033257119
Argentina,61,Design & Multimedia,Engineering & Technical Design,3,0.000623571
Argentina,62,Writing & Translation,Creative Writing,21,0.0043649969
Argentina,63,Administrative Support,Transcription,56,0.0116399917
Argentina,64,Customer Service,Customer Service & Support,30,0.0062357098
Argentina,65,Customer Service,Technical Support,11,0.0022864269
Argentina,66,Customer Service,Phone Support,8,0.001662856
Argentina,67,Customer Service,Other - Customer Service,13,0.0027021409
Argentina,68,Sales & Marketing,Advertising,15,0.0031178549
Argentina,69,Sales & Marketing,Email Marketing,1,0.000207857
Argentina,70,Sales & Marketing,SEM - Search Engine Marketing,39,0.0081064228
Argentina,71,Sales & Marketing,SMM - Social Media Marketing,8,0.001662856
Argentina,72,Sales & Marketing,PR - Public Relations,11,0.0022864269
Argentina,73,Sales & Marketing,Telemarketing & Telesales,5,0.001039285
Argentina,74,Sales & Marketing,Market Research & Surveys,10,0.0020785699
Argentina,75,Sales & Marketing,Sales & Lead Generation,18,0.0037414259
Argentina,76,Sales & Marketing,Other - Sales & Marketing,28,0.0058199958
Argentina,78,Business Services,HR / Payroll,1,0.000207857
Argentina,79,Business Services,Financial Services & Planning,5,0.001039285
Argentina,81,Business Services,Legal,1,0.000207857
Argentina,82,Business Services,Project Management,28,0.0058199958
Argentina,83,Business Services,Business Consulting,12,0.0024942839
Argentina,84,Business Services,Recruiting,6,0.001247142
Argentina,85,Business Services,Statistical Analysis,2,0.000415714
Argentina,86,Business Services,Other - Business Services,27,0.0056121388
Argentina,87,Customer Service,Order Processing,6,0.001247142
Argentina,88,Sales & Marketing,SEO - Search Engine Optimization,38,0.0078985658
Argentina,89,Sales & Marketing,Business Plans & Marketing Strategy,4,0.000831428
Armenia,8,Web Development,Web Design,184,0.0724409449
Armenia,9,Web Development,Web Programming,905,0.3562992126
Armenia,11,Web Development,Ecommerce,21,0.0082677165
Armenia,13,Web Development,UI Design,12,0.0047244094
Armenia,15,Web Development,Website QA,27,0.0106299213
Armenia,16,Web Development,Website Project Management,6,0.0023622047
Armenia,17,Web Development,Other - Web Development,69,0.0271653543
Armenia,18,Software Development,Desktop Applications,174,0.068503937
Armenia,19,Software Development,Client-Server Applications,3,0.0011811024
Armenia,20,Software Development,Game Development,41,0.0161417323
Armenia,21,Software Development,Scripts & Utilities,55,0.0216535433
Armenia,22,Software Development,Software Plug-ins,10,0.0039370079
Armenia,23,Software Development,Mobile Apps,151,0.0594488189
Armenia,24,Software Development,Application Interface Design,6,0.0023622047
Armenia,25,Software Development,Software Project Management,46,0.0181102362
Armenia,26,Software Development,Software QA,24,0.0094488189
Armenia,27,Software Development,VOIP,1,0.0003937008
Armenia,28,Software Development,Other - Software Development,150,0.0590551181
Armenia,29,Networking & Information Systems,Network Administration,25,0.0098425197
Armenia,31,Networking & Information Systems,DBA - Database Administration,7,0.0027559055
Armenia,32,Networking & Information Systems,Server Administration,39,0.0153543307
Armenia,33,Networking & Information Systems,Other - Networking & Information Systems,20,0.0078740157
Armenia,34,Writing & Translation,Technical Writing,16,0.0062992126
Armenia,35,Writing & Translation,Website Content,9,0.0035433071
Armenia,37,Writing & Translation,Blog & Article Writing,18,0.0070866142
Armenia,38,Writing & Translation,Copywriting,3,0.0011811024
Armenia,39,Writing & Translation,Other - Writing & Translation,15,0.0059055118
Armenia,40,Administrative Support,Data Entry,25,0.0098425197
Armenia,41,Administrative Support,Personal Assistant,8,0.0031496063
Armenia,42,Administrative Support,Web Research,20,0.0078740157
Armenia,43,Administrative Support,Email Response Handling,1,0.0003937008
Armenia,46,Administrative Support,Other - Administrative Support,19,0.007480315
Armenia,47,Design & Multimedia,Graphic Design,41,0.0161417323
Armenia,48,Design & Multimedia,Logo Design,28,0.011023622
Armenia,49,Design & Multimedia,Illustration,8,0.0031496063
Armenia,50,Design & Multimedia,Print Design,3,0.0011811024
Armenia,51,Design & Multimedia,3D Modeling & CAD,19,0.007480315
Armenia,53,Design & Multimedia,Audio Production,1,0.0003937008
Armenia,54,Design & Multimedia,Video Production,66,0.025984252
Armenia,56,Design & Multimedia,Animation,20,0.0078740157
Armenia,57,Design & Multimedia,Other - Design & Multimedia,15,0.0059055118
Armenia,58,Writing & Translation,Translation,58,0.0228346457
Armenia,60,Design & Multimedia,Presentations,1,0.0003937008
Armenia,61,Design & Multimedia,Engineering & Technical Design,7,0.0027559055
Armenia,62,Writing & Translation,Creative Writing,6,0.0023622047
Armenia,63,Administrative Support,Transcription,7,0.0027559055
Armenia,64,Customer Service,Customer Service & Support,1,0.0003937008
Armenia,65,Customer Service,Technical Support,9,0.0035433071
Armenia,67,Customer Service,Other - Customer Service,3,0.0011811024
Armenia,68,Sales & Marketing,Advertising,7,0.0027559055
Armenia,69,Sales & Marketing,Email Marketing,2,0.0007874016
Armenia,70,Sales & Marketing,SEM - Search Engine Marketing,2,0.0007874016
Armenia,71,Sales & Marketing,SMM - Social Media Marketing,8,0.0031496063
Armenia,72,Sales & Marketing,PR - Public Relations,1,0.0003937008
Armenia,73,Sales & Marketing,Telemarketing & Telesales,2,0.0007874016
Armenia,74,Sales & Marketing,Market Research & Surveys,10,0.0039370079
Armenia,75,Sales & Marketing,Sales & Lead Generation,12,0.0047244094
Armenia,76,Sales & Marketing,Other - Sales & Marketing,18,0.0070866142
Armenia,79,Business Services,Financial Services & Planning,3,0.0011811024
Armenia,82,Business Services,Project Management,12,0.0047244094
Armenia,83,Business Services,Business Consulting,1,0.0003937008
Armenia,84,Business Services,Recruiting,1,0.0003937008
Armenia,85,Business Services,Statistical Analysis,5,0.0019685039
Armenia,86,Business Services,Other - Business Services,5,0.0019685039
Armenia,87,Customer Service,Order Processing,7,0.0027559055
Armenia,88,Sales & Marketing,SEO - Search Engine Optimization,26,0.0102362205
Armenia,89,Sales & Marketing,Business Plans & Marketing Strategy,11,0.0043307087
Armenia,90,Business Services,Bookkeeping,1,0.0003937008
Aruba,8,Web Development,Web Design,5,0.1041666667
Aruba,9,Web Development,Web Programming,9,0.1875
Aruba,11,Web Development,Ecommerce,1,0.0208333333
Aruba,18,Software Development,Desktop Applications,5,0.1041666667
Aruba,23,Software Development,Mobile Apps,1,0.0208333333
Aruba,35,Writing & Translation,Website Content,1,0.0208333333
Aruba,39,Writing & Translation,Other - Writing & Translation,2,0.0416666667
Aruba,41,Administrative Support,Personal Assistant,1,0.0208333333
Aruba,42,Administrative Support,Web Research,1,0.0208333333
Aruba,46,Administrative Support,Other - Administrative Support,2,0.0416666667
Aruba,53,Design & Multimedia,Audio Production,1,0.0208333333
Aruba,55,Design & Multimedia,Voice Talent,2,0.0416666667
Aruba,58,Writing & Translation,Translation,10,0.2083333333
Aruba,63,Administrative Support,Transcription,1,0.0208333333
Aruba,66,Customer Service,Phone Support,1,0.0208333333
Aruba,67,Customer Service,Other - Customer Service,1,0.0208333333
Aruba,71,Sales & Marketing,SMM - Social Media Marketing,1,0.0208333333
Aruba,74,Sales & Marketing,Market Research & Surveys,1,0.0208333333
Aruba,88,Sales & Marketing,SEO - Search Engine Optimization,2,0.0416666667
Australia,8,Web Development,Web Design,507,0.0669306931
Australia,9,Web Development,Web Programming,964,0.1272607261
Australia,11,Web Development,Ecommerce,135,0.0178217822
Australia,13,Web Development,UI Design,35,0.004620462
Australia,15,Web Development,Website QA,10,0.001320132
Australia,16,Web Development,Website Project Management,40,0.0052805281
Australia,17,Web Development,Other - Web Development,145,0.0191419142
Australia,18,Software Development,Desktop Applications,169,0.022310231
Australia,19,Software Development,Client-Server Applications,19,0.0025082508
Australia,20,Software Development,Game Development,15,0.001980198
Australia,21,Software Development,Scripts & Utilities,91,0.0120132013
Australia,22,Software Development,Software Plug-ins,6,0.0007920792
Australia,23,Software Development,Mobile Apps,40,0.0052805281
Australia,24,Software Development,Application Interface Design,18,0.0023762376
Australia,25,Software Development,Software Project Management,35,0.004620462
Australia,26,Software Development,Software QA,10,0.001320132
Australia,27,Software Development,VOIP,9,0.0011881188
Australia,28,Software Development,Other - Software Development,166,0.0219141914
Australia,29,Networking & Information Systems,Network Administration,38,0.0050165017
Australia,30,Networking & Information Systems,Firewalls & Security,1,0.0001320132
Australia,31,Networking & Information Systems,DBA - Database Administration,23,0.0030363036
Australia,32,Networking & Information Systems,Server Administration,56,0.0073927393
Australia,33,Networking & Information Systems,Other - Networking & Information Systems,35,0.004620462
Australia,34,Writing & Translation,Technical Writing,169,0.022310231
Australia,35,Writing & Translation,Website Content,301,0.0397359736
Australia,37,Writing & Translation,Blog & Article Writing,841,0.1110231023
Australia,38,Writing & Translation,Copywriting,184,0.024290429
Australia,39,Writing & Translation,Other - Writing & Translation,190,0.0250825083
Australia,40,Administrative Support,Data Entry,213,0.0281188119
Australia,41,Administrative Support,Personal Assistant,137,0.0180858086
Australia,42,Administrative Support,Web Research,147,0.0194059406
Australia,43,Administrative Support,Email Response Handling,8,0.0010561056
Australia,46,Administrative Support,Other - Administrative Support,173,0.0228382838
Australia,47,Design & Multimedia,Graphic Design,382,0.0504290429
Australia,48,Design & Multimedia,Logo Design,142,0.0187458746
Australia,49,Design & Multimedia,Illustration,84,0.0110891089
Australia,50,Design & Multimedia,Print Design,59,0.0077887789
Australia,51,Design & Multimedia,3D Modeling & CAD,33,0.0043564356
Australia,53,Design & Multimedia,Audio Production,41,0.0054125413
Australia,54,Design & Multimedia,Video Production,47,0.0062046205
Australia,55,Design & Multimedia,Voice Talent,122,0.0161056106
Australia,56,Design & Multimedia,Animation,41,0.0054125413
Australia,57,Design & Multimedia,Other - Design & Multimedia,69,0.0091089109
Australia,58,Writing & Translation,Translation,156,0.0205940594
Australia,59,Networking & Information Systems,ERP / CRM Implementation,3,0.0003960396
Australia,60,Design & Multimedia,Presentations,91,0.0120132013
Australia,61,Design & Multimedia,Engineering & Technical Design,8,0.0010561056
Australia,62,Writing & Translation,Creative Writing,184,0.024290429
Australia,63,Administrative Support,Transcription,91,0.0120132013
Australia,64,Customer Service,Customer Service & Support,61,0.0080528053
Australia,65,Customer Service,Technical Support,13,0.0017161716
Australia,66,Customer Service,Phone Support,8,0.0010561056
Australia,67,Customer Service,Other - Customer Service,22,0.0029042904
Australia,68,Sales & Marketing,Advertising,42,0.0055445545
Australia,69,Sales & Marketing,Email Marketing,42,0.0055445545
Australia,70,Sales & Marketing,SEM - Search Engine Marketing,38,0.0050165017
Australia,71,Sales & Marketing,SMM - Social Media Marketing,35,0.004620462
Australia,72,Sales & Marketing,PR - Public Relations,32,0.0042244224
Australia,73,Sales & Marketing,Telemarketing & Telesales,50,0.0066006601
Australia,74,Sales & Marketing,Market Research & Surveys,41,0.0054125413
Australia,75,Sales & Marketing,Sales & Lead Generation,98,0.0129372937
Australia,76,Sales & Marketing,Other - Sales & Marketing,65,0.0085808581
Australia,77,Business Services,Accounting,59,0.0077887789
Australia,78,Business Services,HR / Payroll,8,0.0010561056
Australia,79,Business Services,Financial Services & Planning,10,0.001320132
Australia,80,Business Services,Payment Processing,2,0.0002640264
Australia,81,Business Services,Legal,25,0.00330033
Australia,82,Business Services,Project Management,24,0.0031683168
Australia,83,Business Services,Business Consulting,22,0.0029042904
Australia,84,Business Services,Recruiting,46,0.0060726073
Australia,85,Business Services,Statistical Analysis,9,0.0011881188
Australia,86,Business Services,Other - Business Services,85,0.0112211221
Australia,87,Customer Service,Order Processing,5,0.000660066
Australia,88,Sales & Marketing,SEO - Search Engine Optimization,107,0.0141254125
Australia,89,Sales & Marketing,Business Plans & Marketing Strategy,43,0.0056765677
Australia,90,Business Services,Bookkeeping,85,0.0112211221
Austria,8,Web Development,Web Design,27,0.0348837209
Austria,9,Web Development,Web Programming,62,0.0801033592
Austria,11,Web Development,Ecommerce,2,0.0025839793
Austria,13,Web Development,UI Design,2,0.0025839793
Austria,15,Web Development,Website QA,2,0.0025839793
Austria,16,Web Development,Website Project Management,1,0.0012919897
Austria,17,Web Development,Other - Web Development,16,0.0206718346
Austria,18,Software Development,Desktop Applications,22,0.0284237726
Austria,20,Software Development,Game Development,1,0.0012919897
Austria,21,Software Development,Scripts & Utilities,16,0.0206718346
Austria,23,Software Development,Mobile Apps,6,0.007751938
Austria,25,Software Development,Software Project Management,1,0.0012919897
Austria,26,Software Development,Software QA,5,0.0064599483
Austria,27,Software Development,VOIP,17,0.0219638243
Austria,28,Software Development,Other - Software Development,13,0.0167958656
Austria,29,Networking & Information Systems,Network Administration,6,0.007751938
Austria,31,Networking & Information Systems,DBA - Database Administration,4,0.0051679587
Austria,32,Networking & Information Systems,Server Administration,2,0.0025839793
Austria,33,Networking & Information Systems,Other - Networking & Information Systems,8,0.0103359173
Austria,34,Writing & Translation,Technical Writing,8,0.0103359173
Austria,35,Writing & Translation,Website Content,41,0.0529715762
Austria,37,Writing & Translation,Blog & Article Writing,25,0.0322997416
Austria,38,Writing & Translation,Copywriting,9,0.011627907
Austria,39,Writing & Translation,Other - Writing & Translation,39,0.0503875969
Austria,40,Administrative Support,Data Entry,12,0.015503876
Austria,41,Administrative Support,Personal Assistant,10,0.0129198966
Austria,42,Administrative Support,Web Research,43,0.0555555556
Austria,46,Administrative Support,Other - Administrative Support,25,0.0322997416
Austria,47,Design & Multimedia,Graphic Design,20,0.0258397933
Austria,48,Design & Multimedia,Logo Design,3,0.003875969
Austria,49,Design & Multimedia,Illustration,1,0.0012919897
Austria,50,Design & Multimedia,Print Design,5,0.0064599483
Austria,51,Design & Multimedia,3D Modeling & CAD,13,0.0167958656
Austria,53,Design & Multimedia,Audio Production,1,0.0012919897
Austria,54,Design & Multimedia,Video Production,2,0.0025839793
Austria,55,Design & Multimedia,Voice Talent,2,0.0025839793
Austria,56,Design & Multimedia,Animation,2,0.0025839793
Austria,57,Design & Multimedia,Other - Design & Multimedia,4,0.0051679587
Austria,58,Writing & Translation,Translation,129,0.1666666667
Austria,59,Networking & Information Systems,ERP / CRM Implementation,1,0.0012919897
Austria,60,Design & Multimedia,Presentations,4,0.0051679587
Austria,61,Design & Multimedia,Engineering & Technical Design,1,0.0012919897
Austria,62,Writing & Translation,Creative Writing,11,0.0142118863
Austria,63,Administrative Support,Transcription,57,0.0736434109
Austria,64,Customer Service,Customer Service & Support,5,0.0064599483
Austria,65,Customer Service,Technical Support,2,0.0025839793
Austria,67,Customer Service,Other - Customer Service,1,0.0012919897
Austria,68,Sales & Marketing,Advertising,1,0.0012919897
Austria,69,Sales & Marketing,Email Marketing,2,0.0025839793
Austria,70,Sales & Marketing,SEM - Search Engine Marketing,7,0.0090439276
Austria,71,Sales & Marketing,SMM - Social Media Marketing,7,0.0090439276
Austria,72,Sales & Marketing,PR - Public Relations,1,0.0012919897
Austria,73,Sales & Marketing,Telemarketing & Telesales,1,0.0012919897
Austria,74,Sales & Marketing,Market Research & Surveys,16,0.0206718346
Austria,75,Sales & Marketing,Sales & Lead Generation,3,0.003875969
Austria,76,Sales & Marketing,Other - Sales & Marketing,15,0.019379845
Austria,82,Business Services,Project Management,1,0.0012919897
Austria,83,Business Services,Business Consulting,1,0.0012919897
Austria,86,Business Services,Other - Business Services,10,0.0129198966
Austria,87,Customer Service,Order Processing,5,0.0064599483
Austria,88,Sales & Marketing,SEO - Search Engine Optimization,11,0.0142118863
Austria,89,Sales & Marketing,Business Plans & Marketing Strategy,2,0.0025839793
Azerbaijan,8,Web Development,Web Design,23,0.2211538462
Azerbaijan,9,Web Development,Web Programming,44,0.4230769231
Azerbaijan,11,Web Development,Ecommerce,2,0.0192307692
Azerbaijan,13,Web Development,UI Design,1,0.0096153846
Azerbaijan,17,Web Development,Other - Web Development,3,0.0288461538
Azerbaijan,21,Software Development,Scripts & Utilities,2,0.0192307692
Azerbaijan,28,Software Development,Other - Software Development,1,0.0096153846
Azerbaijan,34,Writing & Translation,Technical Writing,2,0.0192307692
Azerbaijan,35,Writing & Translation,Website Content,2,0.0192307692
Azerbaijan,37,Writing & Translation,Blog & Article Writing,2,0.0192307692
Azerbaijan,39,Writing & Translation,Other - Writing & Translation,3,0.0288461538
Azerbaijan,40,Administrative Support,Data Entry,1,0.0096153846
Azerbaijan,42,Administrative Support,Web Research,2,0.0192307692
Azerbaijan,47,Design & Multimedia,Graphic Design,3,0.0288461538
Azerbaijan,50,Design & Multimedia,Print Design,1,0.0096153846
